# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-a" "/home/mila6004/Genomeanalysis/results/5_annotation/braker3/braker.gtf" "-s" "2" "-o" "featurecounts2.txt" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam
g11	contig_12_pilon;contig_12_pilon	110978;114077	111917;114105	-;-	969	133	218
g12	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	116214;116441;117045;118622;118763;118972	116249;116655;118395;118674;118813;118993	+;+;+;+;+;+	1728	169	266
g13	contig_12_pilon;contig_12_pilon;contig_12_pilon	120824;121069;121596	120908;121131;121657	-;-;-	210	19	40
g14	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	121693;122079;122488;122608;122805	121977;122319;122560;122697;122916	-;-;-;-;-	801	36	70
g15	contig_12_pilon	123432	124562	+	1131	40	35
g16	contig_12_pilon;contig_12_pilon	125267;126269	125494;126271	-;-	231	2	14
g17	contig_12_pilon;contig_12_pilon	128039;128329	128173;128427	+;+	234	3	0
g18	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	129112;129112;129555;129555;129851;129851;130177;130177;131188;131188;131739;131739;131769;132508;132508;132769;132769;133271;133271;133784;133784;134178;134178;134391;134391;134572;134572	129320;129320;129618;129618;130023;130023;130645;130645;131591;131591;131754;131910;131891;132570;132570;132932;132932;133404;133404;133877;133877;134286;134286;134439;134439;134594;134594	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2127	1237	1239
g19	contig_12_pilon;contig_12_pilon;contig_12_pilon	134604;135910;136140	135126;135986;136280	-;-;-	741	197	183
g20	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	139891;140204;140599;141019;141629;141833;142235;142457;142837;143075;143372;143597;144192;144783;145046;145393;152767;152973;153172;153342;153722;154319;154698;154916;155168;155363;155616;155831;156043;156264;156678;156846;157581;157918;158226;159356	140103;140270;140657;141094;141716;142067;142350;142677;142868;143204;143480;143740;144336;144898;145314;145982;152904;153017;153274;153508;153842;154454;154772;154981;155236;155437;155687;155902;156105;156535;156719;157401;157719;158057;158382;159496	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5259	215	43
g21	contig_12_pilon	160822	163089	-	2268	940	765
g22	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	163111;163344;163579;164240;164762;165145;165592;165966;166390;166760;167129	163206;163444;163682;164408;165014;165403;165755;166164;166463;166821;167240	+;+;+;+;+;+;+;+;+;+;+	1593	328	137
g23	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	167529;167529;167932;167932;168180;168180;168408;168408;168916;168916;169295;169576	167731;167731;167994;167994;168296;168296;168681;168681;169116;169074;169446;169738	+;+;+;+;+;+;+;+;+;+;+;+	1173	45	21
g24	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	170396;170396;171067;171067;171531;171531;171906;171906;172839;173180	170633;170633;171255;171255;171583;171583;172442;172484;173002;173201	-;-;-;-;-;-;-;-;-;-	1245	67	106
g25	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	175893;176629;176922;177018;177320;177629;178224	176174;176665;176951;177108;177462;177862;178231	+;+;+;+;+;+;+	825	125	47
g26	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	178342;178626;179052;179708	178349;178731;179113;179900	+;+;+;+	369	25	9
g27	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	181103;181103;181510;181510;181874;181874;182073;182073;182372;182656;182656	181302;181302;181660;181660;181973;181973;182572;182245;182572;182877;182877	-;-;-;-;-;-;-;-;-;-;-	1173	157	74
g28	contig_12_pilon	186943	187248	+	306	0	0
g29	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	189935;190165;190658;191531;191929;192175;192423;192743;192940;193225;193889;194944;195135;195487	190121;190335;191134;191760;192061;192263;192499;192830;193074;193785;194124;194956;195389;195876	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3042	80	35
g30	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	205482;205733;206044;206372;206679;207016;207495;207736;208158;208672	205500;205817;206186;206570;206816;207304;207568;207995;208246;208776	-;-;-;-;-;-;-;-;-;-	1401	153	98
g31	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	208802;210749;210915;211328;211505	208990;210873;211166;211389;211755	+;+;+;+;+	879	91	40
g32	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	211830;212455;219366;219725	211914;212549;219524;220204	+;+;+;+	819	174	61
g33	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	220227;220571;220756;221468;221573;221966;222832;223460;223900;224270;225046;225574;225982;226343;226866;227389;227832;228292;228743;229604;229927;230288	220517;220633;220959;221518;221654;222465;223028;223721;224032;224372;225246;225844;226080;226431;226965;227559;228145;228490;229302;229667;230013;230380	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4134	1549	1495
g34	contig_12_pilon;contig_12_pilon	234839;235650	235290;236643	-;-	1446	0	0
g35	contig_12_pilon;contig_12_pilon	237121;237507	237398;237600	-;-	372	0	0
g36	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	241314;241578;242028;242419;242872;243533;244161;244469;244859;245512;245878	241317;241739;242179;242580;243133;243649;244223;244812;245157;245723;245939	-;-;-;-;-;-;-;-;-;-;-	1839	371	224
g37	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	245987;245987;246110;246110;246283;246283;246561;246561;246786;246786;247063;247063;247420;247420;247765;247765;248103;248160	245996;245996;246168;246168;246433;246433;246610;246610;246866;246866;247162;247162;247539;247539;247826;247826;248114;248174	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	660	81	58
g38	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	248513;248513;248706;248706;249256;249256;249783;249783;250014;250014;250424;250424;251223;251229;251904;251904;252162;252162;252398;252398;252570;252570;252784;252784;253030;253030;253549;253549;254057;254057;254382;254382;260206;260206;260422;260422	248617;248617;249130;249130;249345;249345;249818;249818;250144;250144;250531;250531;251665;251665;252035;252035;252257;252257;252460;252460;252629;252629;252887;252887;253111;253111;253629;253629;254109;254109;254970;254970;260283;260283;260607;260607	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2862	273	1457
g39	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	261138;261138;261707;261707;262285;262285;262514;262514;265768;266284;266573;266895;267130;267377;267680;267997;268204;268448	261176;261176;261771;261771;262375;262375;262780;262742;266243;266322;266626;266978;267255;267444;267749;268062;268281;268489	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1565	236	331
g40	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	268737;269355;269633;270060;270465;272947;273610;273676;273976;273976;274427;274427;274701;274701	268742;269467;269888;270310;270884;273460;273849;273849;274226;274226;274556;274556;274979;274979	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2460	10949	8043
g41	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	276917;277135;277398;277678;277853	276952;277221;277568;277719;277924	-;-;-;-;-	408	1315	2623
g42	contig_12_pilon	277966	278193	+	228	137	302
g43	contig_12_pilon	279111	279749	-	639	6	4
g44	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	280216;280364;280553;281193;281435	280244;280421;280616;281276;281580	+;+;+;+;+	381	14	4
g45	contig_12_pilon;contig_12_pilon	286669;287262	286931;288213	+;+	1215	19	18
g46	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	290177;290603;291476;291791;292241;292471;292703;292928;293275	290451;290877;291603;291895;292333;292545;292765;293037;293302	+;+;+;+;+;+;+;+;+	1152	371	424
g47	contig_12_pilon;contig_12_pilon;contig_12_pilon	294771;295533;296298	294840;295749;296688	-;-;-	678	0	0
g48	contig_12_pilon;contig_12_pilon	311889;312639	312081;312679	-;-	234	0	0
g49	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	319507;320135;320364;321374;321891;322110	319725;320257;321252;321422;321967;322513	-;-;-;-;-;-	1761	57	80
g50	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	360022;360601;361258;361520;361882;362202;362389;362512	360158;360734;361415;361765;362040;362271;362456;362703	-;-;-;-;-;-;-;-	1164	59	26
g51	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	363545;364039;364344;364666;365000;365192;365640;366712;366929	363754;364149;364412;364797;365077;365338;365773;366801;366974	+;+;+;+;+;+;+;+;+	1017	72	392
g52	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	368576;368714;369010;369305;369696	368622;368817;369072;369410;369780	-;-;-;-;-	405	163	212
g53	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	369802;370052;370267;372172	369813;370168;370698;372213	-;-;-;-	603	185	355
g54	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	372412;372412;372412;372660;372660;372660;372967;372967;372967;373181;373181;373181;373536;373536;373548;373907;373907;373907;374276;374276;374276;374531;374531;374531;377285;377285;377285;377435;377435;377435;377609;377609;377609;377616;378470;378470;378470;378470;378828;378828;378828;378828;379294;379294;379294;379294;379617;379617;379617;379617;380571;380571;380571;380596;381558;381558;381558;381558;381819;381819;381819;381819;382801;382801;382801;382801;384558;384558;384558;384749;384749;384749;385023;385023;385023;385220;385220;385220;386139;386139;386139;386417;386417;386417;386752;386752;386752;386976;386976;386976;387404;387491;387491;387491;387700;387700;387700;387995;387995;387995;388507;388507;388507;388876;388876;388876;389227;389227;389227;389486;389486;389486;389837;389837;389837;390091;390091;390091;390553;390553;390553	372427;372427;372427;372894;372894;372894;373082;373082;373082;373297;373297;373297;373729;373729;373729;374043;374043;374043;374338;374338;374338;374634;374634;374634;377322;377322;377322;377559;377559;377559;378068;378068;378068;378068;378663;378663;378663;378663;378963;378963;378963;378963;379434;379434;379434;379434;379991;379987;379987;379987;380835;380835;380835;380835;381629;381629;381629;381629;381924;381924;381924;381924;383000;382981;382981;382981;384678;384678;384678;384922;384922;384922;385115;385115;385115;385418;385418;385418;386275;386275;386275;386494;386494;386494;386807;386807;386807;387095;387095;387095;387421;387561;387561;387561;387793;387793;387793;388207;388207;388207;388755;388755;388755;388984;388984;388984;389294;389294;389294;389555;389555;389555;389911;389911;389911;390182;390182;390182;390640;390640;390640	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5219	724	1001
g55	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	394620;395032;395612;395835;396135	394826;395528;395741;396017;396515	-;-;-;-;-	1398	53	144
g56	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	396605;398019;398437;398920;401242;401754;402123;402474	396794;398194;398520;399047;401454;402002;402231;402545	+;+;+;+;+;+;+;+	1221	31	47
g57	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	402602;403044;403624;403847;404120	402838;403540;403753;404029;404512	-;-;-;-;-	1440	287	217
g58	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	404589;406006;406424;406907;407359;407961	404778;406181;406507;407196;407488;408332	+;+;+;+;+;+	1242	0	0
g59	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	409455;409640;409982;410358;410553;411385;411515;412269;412861;413357;413738	409467;409920;410248;410512;410625;411401;412061;412562;413207;413576;413857	+;+;+;+;+;+;+;+;+;+;+	2334	439	324
g60	contig_12_pilon	414062	416197	-	2136	7	0
g61	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	417839;418008;418150;418373	417954;418099;418327;418511	+;+;+;+	525	0	0
g62	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	418581;419514;419902;420287;420610;421122;421521;421879;422186	419457;419747;420219;420482;420713;421213;421672;421925;422274	+;+;+;+;+;+;+;+;+	2109	0	0
g63	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	427093;427093;427636;427636;427917;427917;428129;428129;428571;428571;428761;428761;429079;429079;429386;429386;429774;429774;430128;430423;430423;431304;431304	427470;427470;427737;427737;428009;428009;428275;428275;428658;428658;428849;428849;429147;429147;429500;429500;429962;429954;430164;430592;430592;431473;431473	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1647	281	66
g64	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	432085;432413;432702;433016;433355;433706;435012;435536;439567	432188;432484;432787;433102;433433;433746;435178;436010;439703	-;-;-;-;-;-;-;-;-	1248	1002	1915
g65	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	439741;439962;440134;440468;440721;442276;442361;442811;442811;443510;443510;443831;443831;444132;444132;444443;444443;444829;444829;445202;445202	439812;440003;440304;440554;440752;442662;442523;443191;443191;443644;443644;444004;444004;444182;444182;444639;444639;444916;444916;445429;445429	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2045	1496	4295
g66	contig_12_pilon	448472	448900	+	429	165	215
g67	contig_12_pilon	448986	449801	+	816	1091	2686
g68	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	452841;453462;453836;454148;454339	453082;453651;453948;454228;454378	-;-;-;-;-	666	110	130
g69	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	454932;455289;455683;456044;456273;456460	455184;455448;455872;456156;456353;456487	-;-;-;-;-;-	825	21	44
g70	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	456541;457078;457421;458027;458179;458616;458616;458938;458938;459365;459365;459715;459715;459914;459914;478178;478413;479019;479216;479521;479809	456748;457338;457753;458266;458266;458827;458827;459045;459045;459429;459429;459780;459780;460229;460145;478362;478559;479101;479283;479756;480244	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2964	256	261
g71	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	480311;480579;480722;481431	480532;480645;480823;481906	-;-;-;-	867	2	22
g72	contig_12_pilon;contig_12_pilon;contig_12_pilon	481962;482692;483067	482586;482738;483093	+;+;+	699	30	81
g73	contig_12_pilon	483192	484295	+	1104	372	695
g74	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	485089;485089;485600;485600;486735;487003;487052;487212;487484;487484	485484;485484;486271;486271;486804;487039;487166;487296;487586;487586	-;-;-;-;-;-;-;-;-;-	1478	232	97
g75	contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon;contig_12_pilon	487671;487919;488133;488636;488962;489214;489564;490129;490756;491120	487753;488026;488466;488755;489015;489380;489740;490230;490869;491396	+;+;+;+;+;+;+;+;+;+	1536	355	70
